Site,Manufacturer,ManufacturersModelName,ReceiveCoilType,ReceiveCoilName,MagneicFieldStrength,HardcopyDeviceSoftwareVersion,PulseSequenceType,FlipAngle,EchoTime,RepetitionTime,PixelBandwidth,MultibandAccelerationFactor,ParallelAcquisition,ParallelAcquisitionTechnique,ParallelReductionFactorIn-plane,NumberOfSlices,PlaneOrientationSequentialuence,SliceEncodingDirection,PhaseEncodingDirection,SliceAcquisitionOrder,SliceThickness,SpacingBetweenSlices,FieldofViewShape,FieldofViewDimensions,AcquisitionMatrix,PixelSpacing,NumberofMeasurements,AcquisitionDuration,ScanOptions,BulkMotionCompensationTechnique,TaskName,Instructions,TaskDescription,Notes
CMU_a,Siemens,Verio,Head,,3,,EPI,73,0.03,2,1628,,No,,,28,Axial > Coronal -30,k,j-,int+,3,4.5,Rectangular,192x192,64x64,3x3,240,8:06,FS,,rest,Participants were asked to close their eyes and the room lights were shut off during the rest scan.,Participants were asked to close their eyes and the room lights were shut off during the rest scan. Subjects may have fallen asleep during the scans. Two different sequences were used for collected structural and fMRI data (see below).,
CMU_b,Siemens,Verio,Head,,3,,EPI,73,0.03,1.5,1628,,No,,,21,Axial > Coronal -30,k,j-,int+,3,4.5,Rectangular,192x192,64x64,3x3,240,8:06,FS,,rest,Participants were asked to close their eyes and the room lights were shut off during the rest scan.,Participants were asked to close their eyes and the room lights were shut off during the rest scan. Subjects may have fallen asleep during the scans. Two different sequences were used for collected structural and fMRI data (see below).,
Caltech,Siemens,TrioTim,Head,,3,,EPI,75,0.03,2,2604,,No,,,34,Axial > Coronal -30,k,j-,int+,3.5,3.5,Rectangular,224x224,64x64,3.5x3.5,150,5:04,FS,,rest,"Participants were asked to lie still in the scanner, with their eyes closed, while staying awake. ","Participants were asked to lie still in the scanner, with their eyes closed, while staying awake. No stimuli were shown on the screen. After the scan, all participants confirmed that they remained awake throughout. Resting-state scans were acquired along with other structural scans, but no task-based experiments.",
KKI,Philips,Achieva,Head,,3,,EPI,75,0.03,2.5,2696.9,,Yes,SENSE,3,47,Axial,k,j-,seq+,3,3,Rectangular,256x256,84x81,3.05x3.15,156,6:40,FS,,rest,Participants were asked to simply look at a crosshair on a black computer screen,Children taking psychostimulants were asked to withhold them the day prior to and the day of the scan. During the resting state fMRI scan participants were asked to simply look at a crosshair on a black computer screen.,Voxels reconstructed in-plane to 2.67x2.67
Leuven_1,Philips,Intera,Head,8Ch,3,,EPI,90,0.033,1.667,3208.1,,Yes,SENSE,2,32,Axial,k,j-,seq+,4,4,Rectangular,230x230,64x64,3.59x3.59,250,7:06,FS,,rest,Participants were asked to close their eyes and the room lights were shut off during the rest scan.,"Scan sessions started with the acquisition of the anatomical followed by the resting state scan (also followed by two task-related fMRI runs). During the resting state scan, participants were instructed to relax, fixate on a white cross (against a black background) and think of nothing in particular.",
Leuven_2,Philips,Intera,Head,8Ch,3,,EPI,90,0.033,1.667,3208.1,,Yes,SENSE,2,32,Axial,k,j-,seq+,4,4,Rectangular,230x230,64x64,3.59x3.59,250,7:06,FS,,rest,Participants were given access to a specific training and instruction video http://www.kuleuven.ac.be/radiology/FTP/Instructie_MRI.wmv. We also used standard written and verbal description at consent form time as well as verbal instructions prior to and during scan session.,"Scan sessions started with the acquisition of the anatomical scan, followed by two task-related fMRI runs, a DTI scan and finally, the resting state scan.",
MaxMun_a,Siemens,Verio,Head,,3,,EPI,80,0.03,3,2232,,No,,,28,Axial,k,j-,int+,4,4.4,Rectangular,192x192,64x64,3x3,120,6:06,FS,,rest,"Some participants were instructed to lay still and keep their eyes closed while no visual stimulus was presented during the resting state scan, others were instructed to keep their eyes open and look at a picture of a night sky with stars. Information about the eye status for each subject is provided in the dataset shared","Some participants were instructed to lay still and keep their eyes closed while no visual stimulus was presented during the resting state scan, others were instructed to keep their eyes open and look at a picture of a night sky with stars. Information about the eye status for each subject is provided in the dataset shared (see link to dataset and/or to databases). Most children with ASD were scanned using a 200 time points EPI sequence (instead of 120) to allow for post-hoc deletion of high motion frames.",
MaxMun_b,Siemens,Verio,Head,,3,,EPI,80,0.03,3,2232,,No,,,35,Axial,k,j-,int+,4,4.4,Rectangular,192x192,64x64,3x3,120,6:06,FS,,rest,"Some participants were instructed to lay still and keep their eyes closed while no visual stimulus was presented during the resting state scan, others were instructed to keep their eyes open and look at a picture of a night sky with stars. Information about the eye status for each subject is provided in the dataset shared","Some  participants were instructed to lay still and keep their eyes closed while no visual stimulus was presented during the resting state scan, others were instructed to keep their eyes open and look at a picture of a night sky with stars. Information about the eye status for each subject is provided in the dataset shared (see link to dataset and/or to databases). Most children with ASD were scanned using a 200 time points EPI sequence (instead of 120) to allow for post-hoc deletion of high motion frames.",
MaxMun_c,Siemens,Verio,Head,,3,,EPI,80,0.03,3,2232,,No,,,40,Axial,k,j-,int+,3,3.3,Rectangular,192x192,64x64,3x3,120,6:06,FS,,rest,"Some participants were instructed to lay still and keep their eyes closed while no visual stimulus was presented during the resting state scan, others were instructed to keep their eyes open and look at a picture of a night sky with stars. Information about the eye status for each subject is provided in the dataset shared","Some  participants were instructed to lay still and keep their eyes closed while no visual stimulus was presented during the resting state scan, others were instructed to keep their eyes open and look at a picture of a night sky with stars. Information about the eye status for each subject is provided in the dataset shared (see link to dataset and/or to databases). Most children with ASD were scanned using a 200 time points EPI sequence (instead of 120) to allow for post-hoc deletion of high motion frames.",
MaxMun_d,Siemens,Verio,Head,,3,,EPI,80,0.03,3,2232,,No,,,40,Axial,k,j-,int+,3,3.3,Rectangular,192x192,64x64,3x3,200,10:06,FS,,rest,"Some participants were instructed to lay still and keep their eyes closed while no visual stimulus was presented during the resting state scan, others were instructed to keep their eyes open and look at a picture of a night sky with stars. Information about the eye status for each subject is provided in the dataset shared","Some  participants were instructed to lay still and keep their eyes closed while no visual stimulus was presented during the resting state scan, others were instructed to keep their eyes open and look at a picture of a night sky with stars. Information about the eye status for each subject is provided in the dataset shared (see link to dataset and/or to databases). Most children with ASD were scanned using a 200 time points EPI sequence (instead of 120) to allow for post-hoc deletion of high motion frames.",
