Site,Manufacturer,ManufacturersModelName,ReceiveCoilType,ReceiveCoilName,MagneicFieldStrength,HardcopyDeviceSoftwareVersion,PulseSequenceType,FlipAngle,EchoTime,RepetitionTime,PixelBandwidth,MultibandAccelerationFactor,ParallelAcquisition,ParallelAcquisitionTechnique,ParallelReductionFactorIn-plane,NumberOfSlices,PlaneOrientationSequentialuence,SliceEncodingDirection,PhaseEncodingDirection,SliceAcquisitionOrder,SliceThickness,SpacingBetweenSlices,FieldofViewShape,FieldofViewDimensions,AcquisitionMatrix,PixelSpacing,NumberofMeasurements,AcquisitionDuration,ScanOptions,BulkMotionCompensationTechnique,TaskName,Instructions,TaskDescription,Notes,SliceTiming
CMU_a,Siemens,Verio,Head,,3,,EPI,73,0.03,2,1628,,No,,,28,Axial > Coronal -30,k,j-,Interleaved Ascending,3,4.5,Rectangular,192x192,64x64,3x3,240,8:06,FS,,rest,Participants were asked to close their eyes and the room lights were shut off during the rest scan.,Participants were asked to close their eyes and the room lights were shut off during the rest scan. Subjects may have fallen asleep during the scans. Two different sequences were used for collected structural and fMRI data (see below).,,"1000.0,0.0,1071.43,71.43,1142.86,142.86,1214.29,214.29,1285.71,285.71,1357.14,357.14,1428.57,428.57,1500.0,500.0,1571.43,571.43,1642.86,642.86,1714.29,714.29,1785.71,785.71,1857.14,857.14,1928.57,928.57"
CMU_b,Siemens,Verio,Head,,3,,EPI,73,0.03,1.5,1628,,No,,,21,Axial > Coronal -30,k,j-,Interleaved Ascending,3,4.5,Rectangular,192x192,64x64,3x3,240,8:06,FS,,rest,Participants were asked to close their eyes and the room lights were shut off during the rest scan.,Participants were asked to close their eyes and the room lights were shut off during the rest scan. Subjects may have fallen asleep during the scans. Two different sequences were used for collected structural and fMRI data (see below).,,"0.0,785.71,71.43,857.14,142.86,928.57,214.29,1000.0,285.71,1071.43,357.14,1142.86,428.57,1214.29,500.0,1285.71,571.43,1357.14,642.86,1428.57,714.29"
Caltech,Siemens,TrioTim,Head,,3,,EPI,75,0.03,2,2604,,No,,,34,Axial > Coronal -30,k,j-,Interleaved Ascending,3.5,3.5,Rectangular,224x224,64x64,3.5x3.5,150,5:04,FS,,rest,"Participants were asked to lie still in the scanner, with their eyes closed, while staying awake. ","Participants were asked to lie still in the scanner, with their eyes closed, while staying awake. No stimuli were shown on the screen. After the scan, all participants confirmed that they remained awake throughout. Resting-state scans were acquired along with other structural scans, but no task-based experiments.",,"1000.0,0.0,1058.82,58.82,1117.65,117.65,1176.47,176.47,1235.29,235.29,1294.12,294.12,1352.94,352.94,1411.76,411.76,1470.59,470.59,1529.41,529.41,1588.24,588.24,1647.06,647.06,1705.88,705.88,1764.71,764.71,1823.53,823.53,1882.35,882.35,1941.18,941.18"
KKI,Philips,Achieva,Head,,3,,EPI,75,0.03,2.5,2696.9,,Yes,SENSE,3,47,Axial,k,j-,Sequential Ascending,3,3,Rectangular,256x256,84x81,3.05x3.15,156,6:40,FS,,rest,Participants were asked to simply look at a crosshair on a black computer screen,Children taking psychostimulants were asked to withhold them the day prior to and the day of the scan. During the resting state fMRI scan participants were asked to simply look at a crosshair on a black computer screen.,Voxels reconstructed in-plane to 2.67x2.67,"0.0,53.19,106.38,159.57,212.77,265.96,319.15,372.34,425.53,478.72,531.91,585.11,638.3,691.49,744.68,797.87,851.06,904.26,957.45,1010.64,1063.83,1117.02,1170.21,1223.4,1276.6,1329.79,1382.98,1436.17,1489.36,1542.55,1595.74,1648.94,1702.13,1755.32,1808.51,1861.7,1914.89,1968.09,2021.28,2074.47,2127.66,2180.85,2234.04,2287.23,2340.43,2393.62,2446.81"
Leuven_1,Philips,Intera,Head,8Ch,3,,EPI,90,0.033,1.667,3208.1,,Yes,SENSE,2,32,Axial,k,j-,Sequential Ascending,4,4,Rectangular,230x230,64x64,3.59x3.59,250,7:06,FS,,rest,Participants were asked to close their eyes and the room lights were shut off during the rest scan.,"Scan sessions started with the acquisition of the anatomical followed by the resting state scan (also followed by two task-related fMRI runs). During the resting state scan, participants were instructed to relax, fixate on a white cross (against a black background) and think of nothing in particular.",,"0.0,52.09,104.19,156.28,208.37,260.47,312.56,364.66,416.75,468.84,520.94,573.03,625.12,677.22,729.31,781.41,833.5,885.59,937.69,989.78,1041.87,1093.97,1146.06,1198.16,1250.25,1302.34,1354.44,1406.53,1458.62,1510.72,1562.81,1614.91"
Leuven_2,Philips,Intera,Head,8Ch,3,,EPI,90,0.033,1.667,3208.1,,Yes,SENSE,2,32,Axial,k,j-,Sequential Ascending,4,4,Rectangular,230x230,64x64,3.59x3.59,250,7:06,FS,,rest,Participants were given access to a specific training and instruction video http://www.kuleuven.ac.be/radiology/FTP/Instructie_MRI.wmv. We also used standard written and verbal description at consent form time as well as verbal instructions prior to and during scan session.,"Scan sessions started with the acquisition of the anatomical scan, followed by two task-related fMRI runs, a DTI scan and finally, the resting state scan.",,"0.0,52.09,104.19,156.28,208.37,260.47,312.56,364.66,416.75,468.84,520.94,573.03,625.12,677.22,729.31,781.41,833.5,885.59,937.69,989.78,1041.87,1093.97,1146.06,1198.16,1250.25,1302.34,1354.44,1406.53,1458.62,1510.72,1562.81,1614.91"
MaxMun_a,Siemens,Verio,Head,,3,,EPI,80,0.03,3,2232,,No,,,28,Axial,k,j-,Interleaved Ascending,4,4.4,Rectangular,192x192,64x64,3x3,120,6:06,FS,,rest,"Some participants were instructed to lay still and keep their eyes closed while no visual stimulus was presented during the resting state scan, others were instructed to keep their eyes open and look at a picture of a night sky with stars. Information about the eye status for each subject is provided in the dataset shared","Some participants were instructed to lay still and keep their eyes closed while no visual stimulus was presented during the resting state scan, others were instructed to keep their eyes open and look at a picture of a night sky with stars. Information about the eye status for each subject is provided in the dataset shared (see link to dataset and/or to databases). Most children with ASD were scanned using a 200 time points EPI sequence (instead of 120) to allow for post-hoc deletion of high motion frames.",,"1500.0,0.0,1607.14,107.14,1714.29,214.29,1821.43,321.43,1928.57,428.57,2035.71,535.71,2142.86,642.86,2250.0,750.0,2357.14,857.14,2464.29,964.29,2571.43,1071.43,2678.57,1178.57,2785.71,1285.71,2892.86,1392.86"
MaxMun_b,Siemens,Verio,Head,,3,,EPI,80,0.03,3,2232,,No,,,35,Axial,k,j-,Interleaved Ascending,4,4.4,Rectangular,192x192,64x64,3x3,120,6:06,FS,,rest,"Some participants were instructed to lay still and keep their eyes closed while no visual stimulus was presented during the resting state scan, others were instructed to keep their eyes open and look at a picture of a night sky with stars. Information about the eye status for each subject is provided in the dataset shared","Some  participants were instructed to lay still and keep their eyes closed while no visual stimulus was presented during the resting state scan, others were instructed to keep their eyes open and look at a picture of a night sky with stars. Information about the eye status for each subject is provided in the dataset shared (see link to dataset and/or to databases). Most children with ASD were scanned using a 200 time points EPI sequence (instead of 120) to allow for post-hoc deletion of high motion frames.",,"0.0,1542.86,85.71,1628.57,171.43,1714.29,257.14,1800.0,342.86,1885.71,428.57,1971.43,514.29,2057.14,600.0,2142.86,685.71,2228.57,771.43,2314.29,857.14,2400.0,942.86,2485.71,1028.57,2571.43,1114.29,2657.14,1200.0,2742.86,1285.71,2828.57,1371.43,2914.29,1457.14"
MaxMun_c,Siemens,Verio,Head,,3,,EPI,80,0.03,3,2232,,No,,,40,Axial,k,j-,Interleaved Ascending,3,3.3,Rectangular,192x192,64x64,3x3,120,6:06,FS,,rest,"Some participants were instructed to lay still and keep their eyes closed while no visual stimulus was presented during the resting state scan, others were instructed to keep their eyes open and look at a picture of a night sky with stars. Information about the eye status for each subject is provided in the dataset shared","Some  participants were instructed to lay still and keep their eyes closed while no visual stimulus was presented during the resting state scan, others were instructed to keep their eyes open and look at a picture of a night sky with stars. Information about the eye status for each subject is provided in the dataset shared (see link to dataset and/or to databases). Most children with ASD were scanned using a 200 time points EPI sequence (instead of 120) to allow for post-hoc deletion of high motion frames.",,"1500.0,0.0,1575.0,75.0,1650.0,150.0,1725.0,225.0,1800.0,300.0,1875.0,375.0,1950.0,450.0,2025.0,525.0,2100.0,600.0,2175.0,675.0,2250.0,750.0,2325.0,825.0,2400.0,900.0,2475.0,975.0,2550.0,1050.0,2625.0,1125.0,2700.0,1200.0,2775.0,1275.0,2850.0,1350.0,2925.0,1425.0"
MaxMun_d,Siemens,Verio,Head,,3,,EPI,80,0.03,3,2232,,No,,,40,Axial,k,j-,Interleaved Ascending,3,3.3,Rectangular,192x192,64x64,3x3,200,10:06,FS,,rest,"Some participants were instructed to lay still and keep their eyes closed while no visual stimulus was presented during the resting state scan, others were instructed to keep their eyes open and look at a picture of a night sky with stars. Information about the eye status for each subject is provided in the dataset shared","Some  participants were instructed to lay still and keep their eyes closed while no visual stimulus was presented during the resting state scan, others were instructed to keep their eyes open and look at a picture of a night sky with stars. Information about the eye status for each subject is provided in the dataset shared (see link to dataset and/or to databases). Most children with ASD were scanned using a 200 time points EPI sequence (instead of 120) to allow for post-hoc deletion of high motion frames.",,"1500.0,0.0,1575.0,75.0,1650.0,150.0,1725.0,225.0,1800.0,300.0,1875.0,375.0,1950.0,450.0,2025.0,525.0,2100.0,600.0,2175.0,675.0,2250.0,750.0,2325.0,825.0,2400.0,900.0,2475.0,975.0,2550.0,1050.0,2625.0,1125.0,2700.0,1200.0,2775.0,1275.0,2850.0,1350.0,2925.0,1425.0"
