Site,Manufacturer,ManufacturersModelName,ReceiveCoilType,ReceiveCoilName,MagneticFieldStrength,ScanningSequence,FlipAngle,InversionTime,EchoTime,RepetitionTime,PixelBandwidth,ParallelAcquisition,ParallelAcquisitionTechnique,ParallelReductionFactorIn-plane,ParallelReductionFactorout-of-plane,NumberOfSlices,PlaneOrientationSequence,SliceEncodingDirection,PhaseEncodingDirection,SliceAcquisitionOrder,SliceThickness,SpacingBetweenSlices,FieldofViewShape,FieldofViewDimensions,AcquisitionMatrix,PixelSpacing,AcquisitionDuration,ScanOptions,PartialFourier,Notes
BNI 1,Philips,Ingenia,Head,15 Chan,3,MPRAGE,9,0.9,Shortest,shortest,240,Yes,SENSE,1,,170,Sagittal,i,j-,Sequential Ascending,1.2,1.2,Rectangle,270X252,244X227,1.1X1.1,5:34:00,,,Reconstructed voxels 1.05X1.05X1.2
EMC 1,GE,MR750,Head,8 Chan,3,IR-FSPGR,16,0.35,0.004236,0.01027,20.83,Yes,ASSET,2,,186,Sagittal,,j-,,0.9,0.9,Rectangle,230x230,256x256,0.9x0.9,5:40:00,,,
ETHZ 1,Philips,Achieva,Head,32 Chan,,3D TFE,8,1.15,Shortest,0.0084,,Yes,SENSE,2,3,180,Axial,,,,0.9,,Rectangle,230x230,256x256,0.9x0.9,5:46:00,,,
GU 1,Siemens,TriTim,Head,12 Chan,3,MPRAGE,7,1.1,0.0035,2.53,190,Yes,GRAPPA,2,,176,Sagittal,i,j-,Interleaved Ascending,1,1.5,Rectangle,256x256,256x256,1x1,8:05:00,,,
IP 1,Philips,Achieva,Head,,1.5,MPRAGE,30,0,0.0056,0.025,,Yes,SENSE,2,,170,Sagittal,,j-,,1,,Rectangle,240x240,240x240,1x1,4:37:00,,,Reconstructed Voxels 0.94x0.94x1
IU 1,Siemens,TriTim,Head,32 Chan,3,3D TFL,8,1,0.0023,2.4,210,Yes,GRAPPA,2,,256,Sagittal,i,j-,Interleaved Ascending,0.7,1.05,Rectangle,224x224,320x320,0.7x0.7,7:02:00,PFP,"""7/8""",
KKI 1 acq-RC8Chan,Philips,Achieva,Head,8 Chan,3,MPRAGE,8,1,0.0037,3.5,191.5,Yes,SENSE,1,2,200,Coronal,,i,,1,,Rectangle,256x200,256x200,1x1,8:08,,,
KKI 1 acq-RC32Chan,Philips,Achieva,Head,32 Chan,3,MPRAGE,8,1,0.0037,3.5,191.5,Yes,SENSE,1,2,200,Coronal,,i,,1,,Rectangle,256x200,256x200,1x1,8:08,,,
KUL 3,Philips,Achieva Ds,Head,32 Chan,3,3D TFE,8,0.9,0.0046,0.0094,131,Yes,SENSE,1.5,2.5,182,Coronal,,i,,1.2,,Rectangle,250x250,208x207,1.2x1.2,1:43:00,,,Reconstructed Voxels 0.98x0.98x1.2
NYU 1,Siemens,Allegra,Head,8 Chan,3,3D TFL,7,1.1,0.00325,0.00325,200,,,,,128,Sagittal,i,j-,Sequential Ascending,1.33,1.995,Rectangle,256x256,256x192,1.3x1.0,8:07:00,,,
NYU 2,Siemens,Allegra,Head,8 Chan,3,3D TFL,7,1.1,0.00325,0.00325,200,,,,,128,Sagittal,i,j-,Sequential Ascending,1.33,1.995,Rectangle,256x256,256x192,1.3x1.0,8:07:00,,,
OHSU 1,Siemens,TriTim,Head,,3,3D TFL,10,0.9,0.00358,2.3,180,No,,,,160,Sagittal,i,j-,Interleaved Ascending,1.1,1.65,Rectangle,256x240,256x256,1x1,9:14:00,,,
ONRC 2,Siemens,Skyra,Head,32 Chan,3,MPRAGE,13,0.794,0.00288,2.2,200,Yes,GRAPPA,3,,208,Axial,k,i,Interleaved Ascending,0.8,1.2,Rectangle,256x176,320x320,0.8x0.8,3:25:00,,,
SDSU 1,GE,MR750,Head,8 Chan,3,3D SPGR,8,0.6,0.003172,0.008136,244.141,No,,,,172,Sagittal,i,j-,Interleaved Ascending,1,2,Rectangle,256x256,256x192,1x1,4:54:00,,,
TCD 1,Philips,Achieva,Head,8 Chan,3,MPRAGE,8,1.15,0.0039,0.0084,188.3,Yes,SENSE,2,3,190,Axial,k,i,Interleaved Ascending,0.9,0.99,Rectangle,230x230,256x256,0.9x0.9,5:43:00,,,
UCD 1,Siemens,TriTim,Head,32 Chan,3,MPRAGE,8,1.05,0.00316,2,220,Yes,GRAPPA,2,,192,Sagittal,i,j-,Sequential Ascending,1,1.5,Rectangle,256x224,256x256,1x1,4:06:00,,,
UCLA 1,Siemens,TriTim,Head,12 Chan,3,MPRAGE,9,0.853,0.00286,2.3,240,No,,,,160,Sagittal,i,j-,Sequential Ascending,1.2,1.8,Rectangle,256x240,256x256,1x1,9:14:00,,,
UCLA Long,Siemens,TriTim,Head,12 Chan,3,MPRAGE,9,0.853,0.00286,2.3,240,No,,,,160,Sagittal,i,j-,Sequential Ascending,1.2,1.8,Rectangle,256x240,256x256,1x1,9:14:00,,,
UPSM Long,Siemens,Allegra,Head,8 Chan,3,MPRAGE,7,1,0.00393,2.1,130,No,,,,176,Sagittal,i,j-,Sequential Ascending,1.05,1.575,Rectangle,269x269,256x256,1.1x1.1,8:59:00,,,
USM 1,Siemens,TriTim,Head,,3,MPRAGE,9,0.9,0.00291,0.9,240,No,,,,160,Sagittal,i,j-,Interleaved Ascending,1.2,1.8,Rectangle,256x240,256x256,1x1,9:14:00,,,
