OutputHeaders,InputHeaders
Manufacturer,Manufacturer
Model,Model
Headcoil,Headcoil
Field Strength,FieldStrength
Sequence,Sequence
Flip Angle [Deg],FlipAngle[Deg]
Inversion Time (TI) [ms],InversionTime(TI)[ms]
Echo Time (TE) [ms],EchoTime(TE)[ms]
Repetition Time (TR) [ms],RepetitionTime(TR)[ms]
Bandwidth per Voxel (Readout) [Hz],BandwidthperVoxel(Readout)[Hz]
Parallel Acquisition,ParallelAcquisition
Partial Fourier,PhasePartialFourier
Number of Slices,NumberofSlices
Slice Orientation,Orientation
Slice Phase Encoding Direction,SlicePhaseEncodingDirection
Slice Acquisition Order,SliceAcquisitionOrder
Slice Thickness [mm],SliceThickness[mm]
Slice Gap [mm],SliceGap[mm]
Field of View [mm],FieldofView[mm]
Acquisition Matrix,AcquisitionMatrix
Slice In-Place Resolution [mm^2^],SliceIn-PlaceResolution[mm2]
Number of Measurements,NumberofMeasurements
Acquisition Time [min:sec],AcquisitionTime[min:sec]
Fat Suppression,FatSuppression
Number of Directions,NumberofDirections
Number of B Zeros,NumberofBZeros
B Value(s) [s/mm^2^],BValue(s)[s/mm2]
Averages,Averages
