Site,Manufacturer,ManufacturersModelName,ReceiveCoilType,ReceiveCoilName,MagneticFieldStrength,PulseSequenceType,FlipAngle,InversionTime,EchoTime,RepetitionTime,PixelBandwidth,ParallelAcquisition,ParallelAcquisitionTechnique,ParallelReductionFactorIn-plane,NumberofSlices,Orientation,SlicePhaseEncodingDirection,SliceAcquisitionOrder,SliceThickness[mm],SliceGap[mm],FieldofView[mm],AcquisitionMatrix,SliceIn-PlaceResolution[mm2],AcquisitionTime[min:sec],FatSuppression,PhasePartialFourier,Notes
Brown,Siemens,TrioTim,Head,,3T,MPRAGE,9,0.9,0.00298,2.25,230,Off,,,160,Saggital,AP,int+,1,0.5,256x240,256x240,1.0x1.0,7:36,None,8-Jul,
KKI,Philips,,Head,8Ch,,MPRAGE,8,1,Shortest,3.5,191.5,On,SENSE,2,200,Coronal,RL,,1,,256x200,256x200,1.0x1.0,8:08,None,,
NYU,Siemens,Allegra,Head,,3T,MPRAGE,7,0.11,0.00325,2.53,200,Off,,,128,Saggital,AP,single-shot+,1.3,0.65,256x256,256x192,1.0x1.3,8:07,None,,
NeuroIMAGE,Siemens,Avanto,Head,,1.5T,,7,1,0.00295,2.73,140,On,GRAPPA,2,176,Saggital Oblique,AP,single-shot+,1,0.5,256x256,256x256,1.0x1.0,6:21,None,,
OHSU,Siemens,TrioTim,Head,,3T,MPRAGE,10,0.9,0.00358,2.3,180,Off,,,160,Saggital,AP,single-shot+,1.1,0.55,256x240,256x240,1.0x1.0,9:14,None,,
Peking_1,Siemens,TrioTim,Head,,3T,MPRAGE,7,1.1,0.00339,2.53,190,Off,,,128,Saggital,AP,single-shot+,1.3,0.65,256x256,256x192,1.3x1.0,8:07,None,,
Peking_2,Siemens,TrioTim,Head,,3T,MPRAGE,7,1.1,0.00345,2.53,90,Off,,,176,Saggital,AP,single-shot+,1,0.5,256x208,256x208,1.0x1.0,8:48,None,,
Peking_3a,Siemens,TrioTim,Head,,3T,MPRAGE,12,1.1,0.00367,2,,,,,192,,,,,1,240x240,256x256,,,,,
Peking_3b,Siemens,TrioTim,Head,,3T,MPRAGE,10,0.9,0.0036,1.95,,,,,128,,,,,1.3,240x256,240x256,,,,,
Peking_3c,Siemens,TrioTim,Head,,3T,MPRAGE,7,1.1,0.00337,2.53,,,,,128,,,,,1.33,256x256,256x256,,,,,
Peking_3d,Siemens,TrioTim,Head,,3T,MPRAGE,12,1.1,0.00392,1.77,,,,,176,,,,,1,256x256,512x512,,,,,
Peking_3e,Siemens,TrioTim,Head,,3T,MPRAGE,8,0.6,0.00289,0.845,,,,,144,,,,,1.3,256x256,256x256,,,,,
Pittsburgh,Siemens,TrioTim,Head,,3T,MPRAGE,8,1.05,0.00343,2.1,240,Off,,,176,Axial Oblique,RL,single-shot+,1,0.5,256x208,233x256,1.0x1.0,7:17,None,,
WashU,Siemens,TrioTim,Head,,3T,MPRAGE,8,1,0.00308,2.4,220,On,GRAPPA,2,256,Saggital,AP,single-shot+,1,0.5,256x256,256x256,1.0x1.0,8:09,None,,
