Site,Manufacturer,ManufacturersModelName,ReceiveCoilType,ReceiveCoilName,MagneticFieldStrength,PulseSequenceType,FlipAngle,InversionTime,EchoTime,RepetitionTime,PixelBandwidth,ParallelAcquisition,ParallelAcquisitionTechnique,ParallelReductionFactorIn-plane,NumberofSlices,Orientation,PhaseEncodingDirection,SliceEncodingDirection,SliceAcquisitionOrder,SliceThickness,SpacingBetweenSlices,FieldofViewShape,FieldofViewDimensions,AcquisitionMatrix,PixelSpacing,AcquisitionDuration,ScanOptions,PartialFourier
Brown,Siemens,TrioTim,Head,,3T,MPRAGE,9,0.9,0.00298,2.25,230,Off,,,160,Saggital,j-,i,Interleaved Ascending,1,1.5,Rectangle,256x240,256x240,1.0x1.0,7:36,PFP,8-Jul
KKI,Philips,,Head,8Ch,,MPRAGE,8,1,Shortest,3.5,191.5,On,SENSE,2,200,Coronal,i,,,1,,Rectangle,256x200,256x200,1.0x1.0,8:08,,
NYU,Siemens,Allegra,Head,,3T,MPRAGE,7,0.11,0.00325,2.53,200,Off,,,128,Saggital,j-,i,Sequential Ascending,1.3,1.95,Rectangle,256x256,256x192,1.0x1.3,8:07,,
NeuroIMAGE,Siemens,Avanto,Head,,1.5T,,7,1,0.00295,2.73,140,On,GRAPPA,2,176,Saggital Oblique,j-,i,Sequential Ascending,1,1.5,Rectangle,256x256,256x256,1.0x1.0,6:21,,
OHSU,Siemens,TrioTim,Head,,3T,MPRAGE,10,0.9,0.00358,2.3,180,Off,,,160,Saggital,j-,i,Interleaved Ascending,1.1,1.65,Rectangle,256x240,256x240,1.0x1.0,9:14,,
Peking_1,Siemens,TrioTim,Head,,3T,MPRAGE,7,1.1,0.00339,2.53,190,Off,,,128,Saggital,j-,i,Interleaved Ascending,1.3,1.95,Rectangle,256x256,256x192,1.3x1.0,8:07,,
Peking_2,Siemens,TrioTim,Head,,3T,MPRAGE,7,1.1,0.00345,2.53,90,Off,,,176,Saggital,j-,i,Interleaved Ascending,1,1.5,Rectangle,256x208,256x208,1.0x1.0,8:48,,
Peking_3 acq-1,Siemens,TrioTim,Head,,3T,MPRAGE,12,1.1,0.00367,2,,,,,192,,,,,1,,Rectangle,240x240,256x256,,,,
Peking_3 acq-2,Siemens,TrioTim,Head,,3T,MPRAGE,10,0.9,0.0036,1.95,,,,,128,,,,,1.3,,Rectangle,240x256,240x256,,,,
Peking_3 acq-3,Siemens,TrioTim,Head,,3T,MPRAGE,7,1.1,0.00337,2.53,,,,,128,,,,,1.33,,Rectangle,256x256,256x256,,,,
Peking_3 acq-4,Siemens,TrioTim,Head,,3T,MPRAGE,12,1.1,0.00392,1.77,,,,,176,,,,,1,,Rectangle,256x256,512x512,,,,
Peking_3 acq-5,Siemens,TrioTim,Head,,3T,MPRAGE,8,0.6,0.00289,0.845,,,,,144,,,,,1.3,,Rectangle,256x256,256x256,,,,
Pittsburgh,Siemens,TrioTim,Head,,3T,MPRAGE,8,1.05,0.00343,2.1,240,Off,,,176,Axial Oblique,i,k,Interleaved Ascending,1,1.5,Rectangle,256x208,233x256,1.0x1.0,7:17,,
WashU,Siemens,TrioTim,Head,,3T,MPRAGE,8,1,0.00308,2.4,220,On,GRAPPA,2,256,Saggital,j-,i,Sequential Ascending,1,1.5,Rectangle,256x256,256x256,1.0x1.0,8:09,,
