participant_id,matrixsize,acquisitionparams
1399863,128 240 256 1,2
2940712,128 256 256 1,3
1050345,176 512 512 1,4
1132854,176 512 512 1,4
1411536,176 512 512 1,4
1843546,176 512 512 1,4
2107404,176 512 512 1,4
2493190,176 512 512 1,4
2524687,176 512 512 1,4
2780647,176 512 512 1,4
2984158,176 512 512 1,4
3224401,176 512 512 1,4
3291029,176 512 512 1,4
3385520,176 512 512 1,4
3473830,176 512 512 1,4
3672300,176 512 512 1,4
3803759,176 512 512 1,4
3930512,176 512 512 1,4
4006710,176 512 512 1,4
5669389,176 512 512 1,4
6383713,176 512 512 1,4
8191384,176 512 512 1,4
1356553,192 256 256 1,1
1404738,192 256 256 1,1
1662160,192 256 256 1,1
1771270,192 256 256 1,1
1794770,192 256 256 1,1
2208591,192 256 256 1,1
2228148,192 256 256 1,1
2268253,192 256 256 1,1
2276801,192 256 256 1,1
2907951,192 256 256 1,1
3277313,192 256 256 1,1
3624598,192 256 256 1,1
3712305,192 256 256 1,1
3870624,192 256 256 1,1
4048810,192 256 256 1,1
4136226,192 256 256 1,1
4241194,192 256 256 1,1
5575344,192 256 256 1,1
6477085,192 256 256 1,1
7994085,192 256 256 1,1
