Site,Manufacturer,ManufacturersModelName,Headcoil,MagneticFieldStrength,PulseSequenceType,FlipAngle[Deg],EchoTime(TE)[ms],RepetitionTime(TR)[ms],BandwidthperVoxel(Readout)[Hz],ParallelAcquisition,NumberofSlices,Orientation,SlicePhaseEncodingDirection,SliceAcquisitionOrder,SliceThickness[mm],SliceGap[mm],FieldofView[mm],AcquisitionMatrix,SliceIn-PlaceResolution[mm2],NumberofMeasurements,AcquisitionTime[min:sec],FatSuppression,ProspectiveMotionCorrection,RetrospectiveMotionCorrection,Instructions,TaskDescription,Notes
Brown,Siemens,TrioTim,,3T,EPI,90,25,2000,3126,Off,35,axial,AP,int+,3,0,192x192,64x64,3.0x3.0,256,8:36,On,Off,,Participants were asked to keep their eyes open and relax.,"A screen is presented to the participant with the text ""relax""",
KKI_1,Philips,,,,EPI,75,30,2500,2696.9,,47,axial,AP,seq+,3,0,256x256,84x84,3.05x3.15,152,6:40,On;SPIR,,,"Participants were instructed to relax, stay as still as possible, keep eyes open, and fixate on a center cross.",,Reconstruced voxels size: 2.67x2.67x3.0;Matrix 96x96
KKI_2,Philips,,,,EPI,75,30,2500,2696.9,,47,axial,AP,seq+,3,0,256x256,84x84,3.05x3.15,124,5:30,On;SPIR,,,"Participants were instructed to relax, stay as still as possible, keep eyes open, and fixate on a center cross.",,Reconstruced voxels size: 2.67x2.67x3.0;Matrix 96x96
NeuroIMAGE,Siemens,Avanto,,1.5T,EPI,80,40,1960,1628,GRAPPAx2,37,axial oblique,AP,int+,3,0.51,224x224,64x64,3.5x3.5,266,8:47,Off,Off,,Participants were asked to think of nothing in particular while keeping their eyes closed.,No visual stimulus was presented during the scan.,
NYU,Siemens,Allegra,,3T,EPI,90,15,2000,3906,Off,33,axial oblique,RL,int+,4,0,240x192,80x64,3.0x3.0,180,6:00,On,,,"During acquisition, participants were asked simply to remain still, close their eyes, think of nothing systematically and not fall asleep",A black screen was presented to them.,
OHSU,Siemens,TrioTim,,3T,EPI,90,30,2500,2298,Off,36,axial oblique,AP,int+,3.8,0,240x240,64x64,3.8x3.8,82,3:32,On,Off,,"Participants were instructed to stay still, to keep their eyes open and to fixate on a standard fixation cross in the center of the display. They were asked to be careful not to fall asleep.",,
Peking_1,Siemens,TrioTim,,3T,EPI,90,30,2500,2520,Off,33,axial,AP,int+,3.5,0.7,200x200,64x64,3.1x3.1,240,8:06,On,Off,,"Participants were asked to relax, stay still, and either keep their eyes open or closed",A black screen with a white fixation cross was displayed during the scan,
Peking_2,Siemens,TrioTim,,3T,EPI,90,30,2000,2520,Off,33,axial,AP,int+,3,0.6,200x200,64x64,3.1x3.1,240,8:06,On,Off,,"Participants were asked to relax, stay still, and either keep their eyes open or closed",A black screen with a white fixation cross was displayed during the scan,
Peking_3,Siemens,TrioTim,,3T,EPI,90,30,2000,,,30,axial,,,4.5,0,220x220,64x64,3.438x3.438,240,8:00,,,,"Participants were asked to relax, stay still, and either keep their eyes open or closed",A black screen with a white fixation cross was displayed during the scan,
Pittsburgh,Siemens,TrioTim,,3T,EPI,70,29,1500,2694,GRAPPAx2,29,axial oblique,PA,int+,4,0,200x200,64x64,3.1x3.1,200,5:06,On,On,,"Participants were asked to relax, stay still, and stay awake",The projector was turned off so that participants were presented with a blank screen,
Pittsburgh Test,Siemens,TrioTim,,3T,EPI,90,30,3000,2232,Off,46,axial,AP,int+,3.5,0,240x240,64x64,3.8x3.8,128,6:32,On,Off,,"Participants were asked to relax, stay still, and stay awake",The projector was turned off so that participants were presented with a blank screen,
WashU_1,Siemens,TrioTim,,3T,EPI,90,27,2500,1906,Off,32,axial oblique,AP,int+,4,0,256x256,64x64,4.0x4.0,133,,On,Off,,All of these subjects were instructed to keep their eyes open and generally on the fixation cross.,study 1 collected 3 minute runs of fixation as well as 5 minute runs of movie watching,
WashU_2,Siemens,TrioTim,,3T,EPI,90,27,2500,1906,Off,32,axial oblique,AP,int+,4,0,256x256,64x64,4.0x4.0,133,,On,Off,,All of these subjects were instructed to keep their eyes open and generally on the fixation cross.,study 2 collected 5 minute runs at the end of a 2+ hour session of semantic tasks,
WashU_3,Siemens,TrioTim,,3T,EPI,90,27,2500,1906,Off,32,axial oblique,AP,int+,4,0,256x256,64x64,4.0x4.0,133,,On,Off,,All of these subjects were instructed to keep their eyes open and generally on the fixation cross.,study 3 collected 5 minute runs interspersed with a task-switching paradigm,
