COLUMN LABEL,DESCRIPTION,DATA TYPE,AVAILABLILITY
SUB_ID,INDI Subject ID,integer,core
SESSION,"Scan Sessions (Baseline, Retest_1, Retest_2, Retest_3, Retest_4, Retest_5, Retest_6, Retest_7, Retest_8, Retest_9)",string,core
AGE_AT_SCAN_1,Age at scan session 1 in years (1 decimal place),float,core
SEX,"Sex (1: female, 2: male)",integer,core
DSM_IV_TR,DSM-based Psychiatric Diagnosis (CPT Code),integer,optional
FIQ,Full-scale IQ,integer,optional
VIQ,Verbal IQ,integer,optional
PIQ,Performance IQ,integer,optional
BMI,Body Mass Index,float,optional
RESTING_STATE_INSTRUCTION,Instructions,string,core
VISUAL_STIMULATION_CONDITION,"Visual stimulation for rest (1: fixation, 2: blank screen, 3: word, 4:eye closed, 5: other",integer,core
RETEST_DESIGN,"1: Within Session, 2: Between Session, 3: Witihin + Between",integer,core
PRECEDING_CONDITION,"0: No active task, 1: active task, 2: music listening, 3: video watching, 4: unknown",integer,core
RETEST_DURATION,Time since baseline,real,core
RETEST_UNITS,"m: min, d: days",string,core
TIME_OF_DAY,"0 [0-3:59], 1[4:00-7:59], 2[8:00-11:59], 3[12:00-15:59],æ4 [16-19:59], 5[20:00-23:59]",integer,preferred
SEASON,"0: winter, 1: spring, 2: summer, 3: fall",integer,preferred
SATIETY,"0: unknown, 1: post-prandial, 2: fasting",integer,preferred
LMP,"Number of days since start of last menstrual period (-1: male, 0: unknown)",integer,preferred
