Site,Manufacturer,ManufacturersModelName,PulseSequenceType,ReceiveCoilType,ReceiveCoilName,MagneticFieldStrength,FlipAngle,EchoTime,RepetitionTime,PixelBandwidth,ParallelAcquisition,ParallelAcquisitionTechnique,ParallelReductionFactorIn-plane,ParallelReductionFactorout-of-plane,NumberofSlices,PlaneOrientationSequence,SliceEncodingDirection,PhaseEncodingDirection,SliceAcquisitionOrder,SliceThickness,SpacingBetweenSlices,FieldofViewShape,FieldofViewDimensions,AcquisitionMatrix,PixelSpacing,NumberofMeasurements,AcquisitionDuration,ScanOptions,PartialFourier,NumberofDirections,NumberofBZeros,Diffusionb-value,Averages,Notes
BNU 3,Siemens,TrioTim,EPI,Head,12 Chan,3T,,0.104,7.2,1396,On,GRAPPA,2,,49,Axial,k,j-,Interleaved Ascending,2.5,2.5,Rectangle,230x230,128x128,1.8x1.8,65,8:11,FS,,64,1,1000,1,
HNU 1,GE,Discovery MR750,,Head,8 Chan,3T,,Min,8.6,,,,,,68,,,i,Interleaved Ascending,1.5,1.5,Rectangle,192x192,128x128,1.5x1.5,33,,FS,,30,,1000,,
IPCAS 1,Siemens,TrioTim,,Head,8 Chan,3T,,,,,,,,,,,,,,,,Rectangle,,,,62,,,,62,,,,
IPCAS 2,Siemens,TrioTim,,Head,32 Chan,3T,,,,,,,,,45,,,,,3,,Rectangle,240x240,128x128,1.875x1.875,39,,,,38,,1000,,
IPCAS 8,Siemens,TrioTim,EPI,Head,12 Chan,3T,,0.104,6.6,1396,On,GRAPPA,2,,45,Axial,k,j-,Interleaved Ascending,3,3,Rectangle,230x230,128x128,1.8x1.8,65,7:30,FS,,64,1,1000,1,
MRN,Siemens,TrioTim,EPI,Head,12 Chan,3T,,0.084,9,1562,On,GRAPPA,2,,72,Axial,k,j-,Interleaved Ascending,2,2,Rectangle,256x256,128x128,2.0x2.0,35,5:42,"FS, PFP",8-Jun,35,0,800,1,
NKI TRT,Siemens,TrioTim,EPI,Head,32 Chan,3T,90,0.085,2.4,1814,Off,,,,64,Axial,k,j-,Interleaved Ascending,2,2,Rectangle,212x212,106x106,2.0x2.0,137,5:58,"FS, PFP",8-Jun,137,0,1500,1,
SWU 4,Siemens,TrioTim,,Head,8 Chan,3T,,,,,,,,,,,,,,,,Rectangle,,,,93,,,,,,,,
BNU 1,Siemens,TrioTim,EPI,Head,12 Chan,3T,,0.089,8,1562,On,GRAPPA,2,,62,Axial,k,j-,Interleaved Ascending,2.2,2.2,Rectangle,282x282,128x128,2.2x2.2,31,4:34,"FS, PFP",8-Jun,30,1,1000,1,
XHCUMS,Siemens,TrioTim,EPI,Head,12 Chan,3T,,0.083,8,1396,On,GRAPPA,2,,64,Axial,k,j-,Interleaved Ascending,2,2,Rectangle,256x256,128x128,2.0x2.0,65,9:06,"FS, PFP",8-Jun,64,1,700,1,
