participant_id	sex	age_at_scan_1	retest_design	visual_stimulation_condition	resting_state_instruction
0027430	female	29	within and between	fixation	relax keep awake with eyes open
0027431	female	23	within and between	fixation	relax keep awake with eyes open
0027432	male	25	within and between	fixation	relax keep awake with eyes open
0027433	male	26	within and between	fixation	relax keep awake with eyes open
0027434	male	27	within and between	fixation	relax keep awake with eyes open
0027435	female	23	within and between	fixation	relax keep awake with eyes open
0027436	male	29	within and between	fixation	relax keep awake with eyes open
0027437	male	25	within and between	fixation	relax keep awake with eyes open
0027438	male	25	within and between	fixation	relax keep awake with eyes open
0027439	male	24	within and between	fixation	relax keep awake with eyes open
0027440	male	30	within and between	fixation	relax keep awake with eyes open
0027441	male	24	within and between	fixation	relax keep awake with eyes open
0027442	female	26	within and between	fixation	relax keep awake with eyes open
0027443	female	24	within and between	fixation	relax keep awake with eyes open
0027444	female	22	within and between	fixation	relax keep awake with eyes open
0027445	female	23	within and between	fixation	relax keep awake with eyes open
0027446	female	25	within and between	fixation	relax keep awake with eyes open
0027447	male	27	within and between	fixation	relax keep awake with eyes open
0027448	male	25	within and between	fixation	relax keep awake with eyes open
0027449	female	22	within and between	fixation	relax keep awake with eyes open
0027450	female	24	within and between	fixation	relax keep awake with eyes open
0027451	male	25	within and between	fixation	relax keep awake with eyes open
