participant_id	handedness
0025000	#
0025001	#
0025002	#
0025003	#
0025004	#
0025005	#
0025006	#
0025007	#
0025008	#
0025009	#
0025010	#
0025011	#
0025012	#
0025013	#
0025014	#
0025015	#
0025016	#
0025017	#
0025018	#
0025019	#
0025020	#
0025021	#
0025022	#
0025023	#
0025024	#
0025025	#
0025026	#
0025027	#
0025028	#
0025029	#
0025030	#
0025031	#
0025032	#
0025033	#
0025034	#
0025035	#
0025036	#
0025037	#
0025038	#
0025039	#
0025040	#
0025041	#
0025042	#
0025043	#
0025044	#
0025045	#
0025046	#
0025047	#
0025048	#
0025049	#
0025050	#
0025051	#
0025052	#
0025053	#
0025054	#
0025055	#
0025056	#
0025057	#
0025058	#
0025059	#
0025060	#
0025061	#
0025062	#
0025063	#
0025064	#
0025065	#
0025066	#
0025067	#
0025068	#
0025069	#
0025070	#
0025071	#
0025072	#
0025073	#
0025074	#
0025075	#
0025076	#
0025077	#
0025078	#
0025079	#
0025080	#
0025081	#
0025082	#
0025083	#
0025084	#
0025085	#
0025086	#
0025087	#
0025088	#
0025089	#
0025090	#
0025091	#
0025092	#
0025093	#
0025094	#
0025095	#
0025096	#
0025097	#
0025098	#
0025099	#
0025100	#
0025101	#
0025102	#
0025103	#
0025104	#
0025105	#
0025106	#
0025107	#
0025108	#
0025109	#
0025110	#
0025111	#
0025112	#
0025113	#
0025114	#
0025115	#
0025116	#
0025117	#
0025118	#
0025119	#
0025120	#
0025121	#
0025122	#
0025123	#
0025124	#
0025125	#
0025126	#
0025127	#
0025128	#
0025129	#
0025130	#
0025131	#
0025132	#
0025133	#
0025134	#
0025135	#
0025136	#
0025137	#
0025138	#
0025139	#
0025140	#
0025141	#
0025142	#
0025143	#
0025144	#
0025145	#
0025146	#
0025147	#
0025148	#
0025149	#
0025150	#
0025151	#
0025152	#
0025153	#
0025154	#
0025155	#
0025156	#
0025157	#
0025158	#
0025159	#
0025160	#
0025161	#
0025162	#
0025163	#
0025164	#
0025165	#
0025166	#
0025167	#
0025168	#
0025169	#
0025170	#
0025171	#
0025172	#
0025173	#
0025174	#
0025175	#
0025176	#
0025177	#
0025178	#
0025179	#
0025180	#
0025181	#
0025182	#
0025183	#
0025184	#
0025185	#
0025186	#
