participant_id	preceding_condition
0026007	no active task
0026008	no active task
0026009	no active task
0026010	no active task
0026011	no active task
0026012	no active task
0026013	no active task
0026014	no active task
0026015	no active task
0026016	no active task
0026120	no active task
0026121	no active task
0026122	no active task
0026123	no active task
0026124	no active task
0026125	no active task
0026126	no active task
0026127	no active task
0026128	no active task
0026129	no active task
0026130	no active task
0026131	no active task
0026132	no active task
0026133	no active task
0026134	no active task
0026135	no active task
0026136	no active task
0026137	no active task
0026138	no active task
0026139	no active task
0026140	no active task
0026141	no active task
0026142	no active task
0026143	no active task
0026144	no active task
0026145	no active task
0026146	no active task
0026147	no active task
0026148	no active task
0026149	no active task
0026150	no active task
0026151	no active task
0026152	no active task
0026153	no active task
0026154	no active task
0026155	no active task
0026156	no active task
0026157	no active task
0026158	no active task
0026159	no active task
0026160	no active task
0026161	no active task
0026162	no active task
0026163	no active task
0026164	no active task
0026165	no active task
0026166	no active task
0026167	no active task
0026168	no active task
0026169	no active task
0026170	no active task
0026171	no active task
0026172	no active task
0026173	no active task
0026174	no active task
0026175	no active task
0026176	no active task
0026177	no active task
0026178	no active task
0026179	no active task
0026180	no active task
0026181	no active task
0026182	no active task
0026183	no active task
0026184	no active task
0026185	no active task
0026186	no active task
0026187	no active task
0026188	no active task
0026189	no active task
