participant_id	preceding_condition
0027259	no active task
0027260	no active task
0027261	no active task
0027262	no active task
0027263	no active task
0027264	no active task
0027265	no active task
0027266	no active task
0027267	no active task
0027268	no active task
0027269	no active task
0027270	no active task
0027271	no active task
0027272	no active task
0027273	no active task
0027274	no active task
0027275	no active task
0027276	no active task
0027277	no active task
0027278	no active task
0027279	no active task
0027280	no active task
0027281	no active task
0027282	no active task
0027283	no active task
