participant_id	sex	handedness	retest_design	retest_units	preceding_condition	visual_stimulation_condition	resting_state_instruction
0025983	male	#	#	days	no active task	eyes closed	Lie Still and Relax During Scan'
0025984	female	#	#	days	no active task	eyes closed	Lie Still and Relax During Scan'
0025985	female	#	#	days	no active task	eyes closed	Lie Still and Relax During Scan'
0025986	female	#	#	days	no active task	eyes closed	Lie Still and Relax During Scan'
0025987	female	#	#	days	no active task	eyes closed	Lie Still and Relax During Scan'
0025988	male	#	#	days	no active task	eyes closed	Lie Still and Relax During Scan'
0025989	female	#	#	days	no active task	eyes closed	Lie Still and Relax During Scan'
0025990	female	#	#	days	no active task	eyes closed	Lie Still and Relax During Scan'
0025991	female	#	#	days	no active task	eyes closed	Lie Still and Relax During Scan'
0025992	female	#	#	days	no active task	eyes closed	Lie Still and Relax During Scan'
0025993	female	#	#	days	no active task	eyes closed	Lie Still and Relax During Scan'
0025994	male	#	#	days	no active task	eyes closed	Lie Still and Relax During Scan'
0025995	female	#	#	days	no active task	eyes closed	Lie Still and Relax During Scan'
0025996	male	#	#	days	no active task	eyes closed	Lie Still and Relax During Scan'
0025997	male	#	#	days	no active task	eyes closed	Lie Still and Relax During Scan'
0025998	male	#	#	days	no active task	eyes closed	Lie Still and Relax During Scan'
0025999	male	#	#	days	no active task	eyes closed	Lie Still and Relax During Scan'
0026000	male	#	#	days	no active task	eyes closed	Lie Still and Relax During Scan'
0026001	male	#	#	days	no active task	eyes closed	Lie Still and Relax During Scan'
0026002	male	#	#	days	no active task	eyes closed	Lie Still and Relax During Scan'
0026003	male	#	#	days	no active task	eyes closed	Lie Still and Relax During Scan'
0026004	male	#	#	days	no active task	eyes closed	Lie Still and Relax During Scan'
0026005	male	#	#	days	no active task	eyes closed	Lie Still and Relax During Scan'
0026006	male	#	#	days	no active task	eyes closed	Lie Still and Relax During Scan'
