Tag,Attibute,Type,Description,Units,BIDSSpecified?,BIDSAttributeName,BIDSDescription,RequiredField
,Manufacturer,2,Manufacturer of the equipment that produced the composite instances.,,Yes,Manufacturer,,
,Manufacturers Model Name,3,Manufacturer's model name of the equipment that produced the composite instances.,,Yes,ManufacturersModelName,,
,Receive Coil Manufacturer Name,2,Name of manufacturer of receive coil.,,No,ReceiveCoilManufacturerName,,
,Transmit Coil Manufacturer Name,2,Name of manufacturer of transmit coil.,,No,TransmitCoilManufacturerName,,
,Scanning Sequence,1,"Description of the type of data taken. Enumerated Values: SE = Spin Echo IR = Inversion Recovery GR = Gradient Recalled EP = Echo Planar RM = Research Mode Note: Multi-valued, but not all combinations are valid (e.g. SE/GR, etc.).",,No,ScanningSequence,,
,Sequence Variant,1,Variant of the Scanning Sequence. Defined Terms: SK = segmented k-space MTC = magnetization transfer contrast SS = steady state TRSS = time reversed steady state SP = spoiled MP = MAG prepared OSP = oversampling phase NONE = no sequence variant,,,SequenceVariant,,
,Scan Options,2,Parameters of scanning sequence. Defined Terms: PER = Phase Encode Reordering RG = Respiratory Gating CG = Cardiac Gating PPG = Peripheral Pulse Gating FC = Flow Compensation PFF = Partial Fourier - Frequency PFP = Partial Fourier - Phase SP = Spatial Presaturation FS = Fat Saturation,,,ScanOptions,,
,MR Acquisition Type,2,Identification of data encoding scheme. Enumerated Values: 2D = frequency x phase 3D = frequency x phase x phase,,,MRAcquisitionType,,
,Repetition Time,2C,"The period of time in msec between the beginning of a pulse sequence and the beginning of the succeeding (essentially identical) pulse sequence. Required except when Scanning Sequence (0018,0020) is EP and Sequence Variant (0018,0021) is not SK.",Seconds,Yes,RepetitionTime,,Yes
,Echo Time,2,"Time in ms between the middle of the excitation pulse and the peak of the echo produced (kx=0). In the case of segmented k-space, the TE(eff) is the time between the middle of the excitation pulse to the peak of the echo that is used to cover the center of k-space (i.e.-kx=0, ky=0).",,,EchoTime,,
,Echo Train Length,2,Number of lines in k-space acquired per excitation per image.,,,EchoTrainLength,,
,Inversion Time,2C,"Time in msec after the middle of inverting RF pulse to middle of excitation pulse to detect the amount of longitudinal magnetization. Required if Scanning Sequence (0018,0020) has values of IR.",,,InversionTime,,
,Trigger Time,2C,"Time, in msec, between peak of the R wave and the peak of the echo produced. In the case of segmented k-space, the TE(eff) is the time between the peak of the echo that is used to cover the center of k-space. Required for Scan Options (0018,0022) which include heart gating (e.g. CG, PPG, etc.)",,,TriggerTime,,
