Initiative,Site,Issue,Fix,Completed,Uploaded
ABIDE2,BNI,Wrong num of dwi vols,Vol at end is computed derivative remove and put in derivatives,Yes,Yes
ABIDE2,BNI,Not all subjects have FLAIR,Not required,NA,NA
ABIDE2,BNI,Some bold have TR set to 0,Set to 3,Yes,Yes
ABIDE2,BNI,Bold for 30150 and 30151 have 1 less volume,No fix,NA,NA
ABIDE2,EMC,Varying num of slices (187/186) supposed to just be 186,No fix,NA,NA
ABIDE2,EMC,One component of in-plane voxel size varies slightly for bold images just rounding error,Changed to rounded number,Yes,No
ABIDE2,GU,T1 voxel size rounding error,Changed to rounded number,Yes,No
ABIDE2,GU,T1 TR different,Changed to correct value,Yes,No
ABIDE2,GU,Bold slice thickness variable rounding error,Changed to rounded number,Yes,No
ABIDE2,IP,No bvals bvals are bvecs,Replace with correct values based on scan params (2 b values 0 and 1000),Yes,Yes
ABIDE2,IP,Slice timing is n/a,Not available,NA,NA
ABIDE2,IP,DWI images have totally variable TR,Change?,,
ABIDE2,IP,Philips scanner has ADC calculated at end of dwi,Vol at end is computed derivative remove and put in derivatives,Yes,Yes
ABIDE2,KKI,acq flag in wrong place in filename,Swapped tags,Yes,Yes
ABIDE2,KKI,Variable bold volumes,Not required,NA,NA
ABIDE2,KUL,TR doesnt match between json and header,Just for one file (./sub-29659/ses-1/func/sub-29659_ses-1_task-rest_run-1_bold.nii.gz) replace with correct value,Yes,Yes
ABIDE2,KUL,ABIDEII-KUL_3/sub-29660/ses-1/func/sub-29660_ses-1_task-rest_run-1_bold.nii.gz voxel size weird,Change?,Yes,No
ABIDE2,NYU1,Figure out naming convention of bvecs absolute and fieldmap,Change?,,
ABIDE2,NYU1,.bval files are called .bvals,rename,Yes,Yes
ABIDE2,NYU1,sub-29217/ses-1/func/sub-29217_ses-1_task-rest_run-1_bold.nii.gz less vols,No fix,NA,NA
ABIDE2,NYU1,No run 2 bvals,Copied run 1 as run 2 also,Yes,No
ABIDE2,NYU2,Figure out naming convention of bvecs absolute and fieldmap,Change?,,
ABIDE2,NYU2,151 vols in 29151 bold inconsistent volumes,No fix,NA,NA
ABIDE2,NYU2,.bval files are called .bvals,rename,Yes,Yes
ABIDE2,NYU2,sub-29151/ses-1/func/sub-29151_ses-1_task-rest_run-1_bold.nii.gz less vols,No fix,NA,NA
ABIDE2,NYU2,No run 2 bvals,Copied run 1 as run 2 also,Yes,No
